Number,Problem,Difficulty,Kyu,Color,Link,Contest
73,ABC329_A,-1120,9 Kyu,lightgrey,https://atcoder.jp/contests/abc329/tasks/abc329_a,https://atcoder.jp/contests/abc329
74,ABC290_A,-1118,9 Kyu,lightgrey,https://atcoder.jp/contests/abc290/tasks/abc290_a,https://atcoder.jp/contests/abc290
75,ABC193_A,-1117,9 Kyu,lightgrey,https://atcoder.jp/contests/abc193/tasks/abc193_a,https://atcoder.jp/contests/abc193
76,ABC222_B,-1117,9 Kyu,lightgrey,https://atcoder.jp/contests/abc222/tasks/abc222_b,https://atcoder.jp/contests/abc222
77,ABC251_A,-1113,9 Kyu,lightgrey,https://atcoder.jp/contests/abc251/tasks/abc251_a,https://atcoder.jp/contests/abc251
78,ABC233_A,-1110,9 Kyu,lightgrey,https://atcoder.jp/contests/abc233/tasks/abc233_a,https://atcoder.jp/contests/abc233
79,ABC235_A,-1104,9 Kyu,lightgrey,https://atcoder.jp/contests/abc235/tasks/abc235_a,https://atcoder.jp/contests/abc235
80,ABC340_A,-1100,9 Kyu,lightgrey,https://atcoder.jp/contests/abc340/tasks/abc340_a,https://atcoder.jp/contests/abc340
81,ABC332_A,-1099,9 Kyu,lightgrey,https://atcoder.jp/contests/abc332/tasks/abc332_a,https://atcoder.jp/contests/abc332
82,ABC305_A,-1093,9 Kyu,lightgrey,https://atcoder.jp/contests/abc305/tasks/abc305_a,https://atcoder.jp/contests/abc305
83,ABC334_A,-1092,9 Kyu,lightgrey,https://atcoder.jp/contests/abc334/tasks/abc334_a,https://atcoder.jp/contests/abc334
84,ABC152_A,-1089,9 Kyu,lightgrey,https://atcoder.jp/contests/abc152/tasks/abc152_a,https://atcoder.jp/contests/abc152
85,ABC198_A,-1088,9 Kyu,lightgrey,https://atcoder.jp/contests/abc198/tasks/abc198_a,https://atcoder.jp/contests/abc198
86,ABC307_A,-1088,9 Kyu,lightgrey,https://atcoder.jp/contests/abc307/tasks/abc307_a,https://atcoder.jp/contests/abc307
87,ABC171_A,-1086,9 Kyu,lightgrey,https://atcoder.jp/contests/abc171/tasks/abc171_a,https://atcoder.jp/contests/abc171
88,ABC161_A,-1083,9 Kyu,lightgrey,https://atcoder.jp/contests/abc161/tasks/abc161_a,https://atcoder.jp/contests/abc161
89,ABC221_A,-1081,9 Kyu,lightgrey,https://atcoder.jp/contests/abc221/tasks/abc221_a,https://atcoder.jp/contests/abc221
90,ABC284_A,-1072,9 Kyu,lightgrey,https://atcoder.jp/contests/abc284/tasks/abc284_a,https://atcoder.jp/contests/abc284
91,ABC157_A,-1070,9 Kyu,lightgrey,https://atcoder.jp/contests/abc157/tasks/abc157_a,https://atcoder.jp/contests/abc157
92,ABC319_A,-1069,9 Kyu,lightgrey,https://atcoder.jp/contests/abc319/tasks/abc319_a,https://atcoder.jp/contests/abc319
93,ABC320_A,-1061,9 Kyu,lightgrey,https://atcoder.jp/contests/abc320/tasks/abc320_a,https://atcoder.jp/contests/abc320
94,ABC258_A,-1060,9 Kyu,lightgrey,https://atcoder.jp/contests/abc258/tasks/abc258_a,https://atcoder.jp/contests/abc258
